no,start_lon,start_lat,end_lon,end_lat,location,pmv,heat_13-value,heat_7-value,humi_feel,sun_feel,wind_feel,temp,humi,kPa,wind_speed,Block,lat,lon,depthmap,Ref,x1,y1,x2,y2,Connectivity,Entropy R3,Harmonic Mean Depth R3,Integration (HH) R3,Integration (P-value) R3,Integration (Tekl) R3,Intensity R3,Line Length,Mean Depth R3,Node Count R3,Relativised Entropy R3
56,121.529,25.039863,121.5291,25.040315,56,3.54,1,0,0,0,0,35.9235,50.8305,101.2683945,4.7755,56,25.0402085,121.5290808,10,10,-535.3262484,291.7885213,-519.1124999,340.2541666,4,1.4372839,7.394958,1.5448366,1.5448366,0.68307137,1.1608831,51.105816,2.3499999,21,1.7988788
57,121.5289,25.039456,121.529,25.039863,57,3.28,1,1,1,0,1,35.49,55.53,101.3022232,0.761,57,25.0396876,121.5289609,11,11,-552.3876785,240.7890115,-535.3262484,291.7885213,2,1.4290229,4.7457628,1.238816,1.238816,0.63570756,1.1908524,53.777714,2.3571429,15,1.7176391
58,121.5287,25.039037,121.5289,25.039456,58,3.365,0.5,0,1,0,1,35.2385,53.234,101.2589722,7.1795,58,25.0393934,121.5288781,12,12,-568.148611,193.8513888,-552.3876785,240.7890115,3,1.4860064,5.5081968,1.3076391,1.3076391,0.6475991,1.3111821,49.513103,2.2857144,15,1.6335514
59,121.5286,25.038665,121.5287,25.039037,59,3.405,0.5,1,1,0,1,36.13,52.7625,101.2620011,0.43,59,25.0388121,121.5286443,13,13,-582.9731107,149.8084731,-568.148611,193.8513888,2,1.4535002,4.3636365,1.1365665,1.1365665,0.61485791,1.2597001,46.470898,2.3333333,13,1.650112
60,121.5284,25.038411,121.5286,25.038665,60,3.725,1.5,2,1,1,1,36.306,50.8645,101.255703,7.208,60,25.0384912,121.5284798,14,14,-604.1319443,87.31249998,-582.9731107,149.8084731,3,1.5415961,5.1063828,1.2989333,1.2989333,0.64596856,1.5415961,65.980621,2.1666667,13,1.4444195
61,121.5287,25.038636,121.5288,25.038391,61,2.84,-0.5,-2,1,-1,2,33.5715,58.051,101.259449,32.521,61,25.0385565,121.5287272,86,86,-560.7402776,94.36805553,-552.273611,158.2208333,2,1.5085742,4,1.1058542,1.1058542,0.60528529,1.5085742,64.411659,2.2,11,1.4395257
62,121.5307,25.042894,121.5306,25.042403,62,2.165,-0.25,-0.5,0.5,-1,1,31.5975,72.754,101.3415528,18.9015,62,25.0425721,121.5306431,46,46,-370.830754,561.8255126,-356.6989646,617.5348222,1,1.3532825,2.6086957,0.84615386,0.84615386,0.54047632,1.1277354,57.473774,2.4444444,10,1.7367692
63,121.5306,25.042403,121.5305,25.041992,63,2.16,-0.5,-1,0,-1,1,31.477,73.783,101.3409195,7.956,63,25.0421985,121.5305674,47,47,-382.6005283,515.4275671,-370.830754,561.8255126,4,1.5375459,6.7469878,1.5405476,1.5405476,0.68430793,1.4521267,47.867493,2.1875,17,1.5290827
64,121.5305,25.041992,121.5304,25.041611,64,2.45,0,0,0,-1,1,32.393,69.426,101.3500977,19.221,64,25.0418302,121.5304671,48,48,-393.4280776,472.743992,-382.6005283,515.4275671,2,1.3544021,5.2173915,1.3592209,1.3592209,0.65684551,1.0293455,44.03548,2.4444444,19,1.898284
65,121.5304,25.041611,121.5302,25.041147,65,3.25,1,2,1,0,1,34.458,63.232,101.3302994,30.044,65,25.0413736,121.5303026,49,49,-405.5180555,424.5680554,-393.4280776,472.743992,4,1.449296,8.3999996,1.6700469,1.6700469,0.69828314,1.1594368,49.669792,2.347826,24,1.7904537
